TRDAR_CD,TRDAR_CD_NM,ADSTRD_CD,ADSTRD_CD_NM,SIGNGU_CD,SIGNGU_CD_NM
12466,영화사로_B,11215770,중곡4동,11215,광진구
12467,능동로_C,11215740,중곡1동,11215,광진구
12469,공항대로_B,11500535,등촌3동,11500,강서구
12470,화곡로_A,11500591,화곡6동,11500,강서구
12471,와우산로_A,11440660,서교동,11440,마포구
12472,공항대로_C,11500591,화곡6동,11500,강서구
12473,와우산로29길,11440660,서교동,11440,마포구
12474,공항대로45길,11500520,등촌1동,11500,강서구
12475,월드컵로_C,11440690,망원1동,11440,마포구
12476,월드컵북로5나길,11440660,서교동,11440,마포구
12477,망원로,11440690,망원1동,11440,마포구
12478,신촌로4길,11440660,서교동,11440,마포구
12479,숭문길,11440610,염리동,11440,마포구
12480,천호대로111길,11215750,중곡2동,11215,광진구
12481,굴레방로,11440555,아현동,11440,마포구
12482,우장산로,11500615,우장산동,11500,강서구
12484,신촌로_B,11440610,염리동,11440,마포구
12485,용마산로_F,11215770,중곡4동,11215,광진구
12486,강서로_B,11500611,발산1동,11500,강서구
12487,왕십리로_C,11200550,사근동,11200,성동구
12488,월드컵로_D,11440690,망원1동,11440,마포구
12489,능동로_D,11215750,중곡2동,11215,광진구
12490,양천로_F,11500520,등촌1동,11500,강서구
12491,공항대로_D,11500520,등촌1동,11500,강서구
12492,연세로2길,11410585,신촌동,11410,서대문구
12493,청파로_A,11140680,중림동,11140,중구
12494,영화사로_C,11215770,중곡4동,11215,광진구
12495,신촌로_C,11440600,대흥동,11440,마포구
12496,상일로_A,11740560,고덕2동,11740,강동구
12497,천호대로_F,11215750,중곡2동,11215,광진구
12498,다산로_C,11140625,다산동,11140,중구
12499,월드컵로_E,11440690,망원1동,11440,마포구
12500,다산로_D,11140645,청구동,11140,중구
12501,면목로_N,11215730,군자동,11215,광진구
12502,포은로_A,11440690,망원1동,11440,마포구
12504,신촌역로,11410585,신촌동,11410,서대문구
12505,월드컵로_F,11440700,망원2동,11440,마포구
12506,다산로_E,11140625,다산동,11140,중구
12508,월드컵로_G,11440720,성산1동,11440,마포구
12510,장한로2길,11230650,장안1동,11230,동대문구
12511,화곡로63길,11500535,등촌3동,11500,강서구
12512,행당로17길,11200560,행당1동,11200,성동구
12514,성미산로,11440720,성산1동,11440,마포구
12515,서소문로,11410565,충현동,11410,서대문구
12516,양화로23길,11440660,서교동,11440,마포구
12517,월드컵북로_C,11440660,서교동,11440,마포구
12518,퇴계로20길,11140550,명동,11140,중구
12519,월드컵북로6길_B,11440710,연남동,11440,마포구
12520,월드컵로25길_A,11440700,망원2동,11440,마포구
12521,공항대로41길_A,11500535,등촌3동,11500,강서구
12522,왕십리로_D,11200560,행당1동,11200,성동구
12523,공항대로41길_B,11500535,등촌3동,11500,강서구
12524,용마산로_G,11215750,중곡2동,11215,광진구
12525,청파로_B,11140680,중림동,11140,중구
12527,마조로,11200550,사근동,11200,성동구
12528,동교로27길,11440710,연남동,11440,마포구
12529,연희로_D,11440710,연남동,11440,마포구
12531,양천로_G,11500510,염창동,11500,강서구
12532,공항대로_E,11500535,등촌3동,11500,강서구
12533,공항대로_F,11500615,우장산동,11500,강서구
12534,공항대로41길_C,11500535,등촌3동,11500,강서구
12535,신촌로_D,11410585,신촌동,11410,서대문구
12536,화곡로68길,11500520,등촌1동,11500,강서구
12537,월드컵로25길_B,11440700,망원2동,11440,마포구
12538,청구로,11140625,다산동,11140,중구
12539,다산로_F,11140645,청구동,11140,중구
12540,긴고랑로_B,11215740,중곡1동,11215,광진구
12542,양천로_H,11500520,등촌1동,11500,강서구
12543,다산로29길,11140615,신당동,11140,중구
12544,왕십리로21길,11200520,왕십리2동,11200,성동구
12545,등촌로_A,11500530,등촌2동,11500,강서구
12547,올림픽로_A,11740580,암사2동,11740,강동구
12548,까치산로_A,11500591,화곡6동,11500,강서구
12549,강서로_C,11500611,발산1동,11500,강서구
